name;vc 1;vc 2;vc 3;vc 4;vc 5
Jan Tivenius;1;4;7;;
C-H Wendt;2;3;9;;
Tor Forsse;3;1;1;;
Elvira Mårtensson;4;;6;;
Ian Bäcksröm;5;;4;;
Darius Lai;6;;;;
Lukas Marcos;7;6;2;;
Louise Ulltjärn;8;9;12;;
Ludvig Dahlström;9;13;;;
Joakim Ramsberg;10;5;5;;
Hugo Wik;11;15;;;
Francesco Pelletta;12;14;14;;
Fernando Bodin;13;8;8;;
Karsten Kaping;;2;;;
Sophie Haarlem;;7;15;;
Frederick Marelius;;10;;;
Thomas Schiöler;;11;;;
Mio Öberg;;12;;;
Peter Franzén;;16;11;;
Eden Renda;;;16;;
David Ramsberg;;;17;;
Greger Forslöw;;;3;;
Johan Ström;;;10;;
Per Sandgren;;;13;;
